,,,,,,Criteria,Criteria,Criteria,Criteria,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season▼,Age,Tm,Lg,TRB,AST,PTS,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,STL,BLK,TOV,PF,FG%,2P%,3P%,eFG%,FT%,TS%
1,James Harden\hardeja01,2016-17,27,HOU,NBA,8.1,11.2,29.1,15.0,81,81,36.4,8.3,18.9,5.1,9.6,3.2,9.3,9.2,10.9,1.2,7.0,1.5,0.5,5.7,2.7,.440,.530,.347,.525,.847,.613
2,Russell Westbrook\westbru01,2016-17,28,OKC,NBA,10.7,10.4,31.6,13.1,81,81,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,1.6,0.4,5.4,2.3,.425,.459,.343,.476,.845,.554
3,LeBron James\jamesle01,2016-17,32,CLE,NBA,8.6,8.7,26.4,12.9,74,74,37.8,9.9,18.2,8.3,13.5,1.7,4.6,4.8,7.2,1.3,7.3,1.2,0.6,4.1,1.8,.548,.611,.363,.594,.674,.619
4,Stephen Curry\curryst01,2015-16,27,GSW,NBA,5.4,6.7,30.1,17.9,79,79,34.2,10.2,20.2,5.1,9.0,5.1,11.2,4.6,5.1,0.9,4.6,2.1,0.2,3.3,2.0,.504,.566,.454,.630,.908,.669
5,Kevin Durant\duranke01,2015-16,27,OKC,NBA,8.2,5.0,28.2,14.5,72,72,35.8,9.7,19.2,7.1,12.5,2.6,6.7,6.2,6.9,0.6,7.6,1.0,1.2,3.5,1.9,.505,.569,.387,.573,.898,.634
6,LeBron James\jamesle01,2015-16,31,CLE,NBA,7.4,6.8,25.3,13.6,76,76,35.6,9.7,18.6,8.6,14.9,1.1,3.7,4.7,6.5,1.5,6.0,1.4,0.6,3.3,1.9,.520,.573,.309,.551,.731,.588
7,James Harden\hardeja01,2015-16,26,HOU,NBA,6.1,7.5,29.0,13.3,82,82,38.1,8.7,19.7,5.8,11.7,2.9,8.0,8.8,10.2,0.8,5.3,1.7,0.6,4.6,2.8,.439,.494,.359,.512,.860,.598
8,James Harden\hardeja01,2014-15,25,HOU,NBA,5.7,7.0,27.4,16.4,81,81,36.8,8.0,18.1,5.4,11.3,2.6,6.9,8.8,10.2,0.9,4.7,1.9,0.7,4.0,2.6,.440,.480,.375,.511,.868,.605
9,Russell Westbrook\westbru01,2014-15,26,OKC,NBA,7.3,8.6,28.1,10.6,67,67,34.4,9.4,22.0,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,2.1,0.2,4.4,2.7,.426,.457,.299,.455,.835,.536
