Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,James Harden\hardeja01,27-229,G,2017-04-12,HOU,,MIN,W,1,35,8,13,.615,3,3,1.000,5,10,.500,6,8,.750,1,9,10,12,4,1,4,3,27,31.6
2,Nikola Jokic\jokicni01,22-052,C-F,2017-04-12,DEN,@,OKC,W,1,40,9,14,.643,9,14,.643,0,0,,11,14,.786,2,14,16,8,1,5,4,4,29,31.7
3,Deron Williams\willide01,32-288,G,2017-04-10,CLE,@,MIA,L,1,46,14,25,.560,9,16,.563,5,9,.556,2,4,.500,0,7,7,9,1,1,10,3,35,21.2
4,James Harden\hardeja01,27-226,G,2017-04-09,HOU,@,SAC,W,1,36,9,22,.409,4,9,.444,5,13,.385,12,13,.923,0,11,11,15,1,0,10,2,35,26.8
5,LeBron James\jamesle01,32-100,F-G,2017-04-09,CLE,@,ATL,L,1,47,11,21,.524,10,18,.556,1,3,.333,9,10,.900,3,13,16,10,1,0,3,6,32,29.9
6,Russell Westbrook\westbru01,28-148,G,2017-04-09,OKC,@,DEN,W,1,37,17,32,.531,12,20,.600,5,12,.417,11,11,1.000,2,14,16,10,1,0,2,1,50,45.6
7,James Harden\hardeja01,27-224,G,2017-04-07,HOU,,DET,L,1,38,10,25,.400,3,6,.500,7,19,.368,6,7,.857,2,7,9,12,0,1,1,4,33,29.1
8,LeBron James\jamesle01,32-098,F-G,2017-04-07,CLE,,ATL,L,1,41,12,15,.800,11,13,.846,1,2,.500,2,6,.333,1,7,8,7,2,0,5,0,27,24.4
9,James Harden\hardeja01,27-222,G,2017-04-05,HOU,,DEN,W,1,39,8,19,.421,4,9,.444,4,10,.400,11,15,.733,0,7,7,10,1,3,4,3,31,26.3
10,Russell Westbrook\westbru01,28-144,G,2017-04-05,OKC,@,MEM,W,1,38,14,25,.560,6,12,.500,8,13,.615,9,12,.750,0,9,9,10,4,0,7,4,45,37.0
11,DeMarcus Cousins\couside01,26-234,C-F,2017-04-04,NOP,,DEN,L,1,36,10,22,.455,7,14,.500,3,8,.375,7,8,.875,5,9,14,9,1,1,2,6,30,28.0
12,Giannis Antetokounmpo\antetgi01,22-117,F-G,2017-04-02,MIL,,DAL,L,1,40,10,18,.556,10,15,.667,0,3,.000,11,12,.917,1,14,15,9,4,2,5,2,31,32.8
13,Paul George\georgpa01,26-335,F,2017-04-02,IND,@,CLE,L,1,48,16,33,.485,10,17,.588,6,16,.375,5,7,.714,0,9,9,9,3,1,3,5,43,33.2
14,LeBron James\jamesle01,32-093,F-G,2017-04-02,CLE,,IND,W,1,52,16,29,.552,13,19,.684,3,10,.300,6,12,.500,4,10,14,11,2,1,1,4,41,38.3
15,Tyler Ulis\ulisty01,21-087,G,2017-04-02,PHO,,HOU,L,1,45,15,22,.682,12,15,.800,3,7,.429,1,1,1.000,2,7,9,9,1,0,4,4,34,29.8
16,Russell Westbrook\westbru01,28-141,G,2017-04-02,OKC,,CHO,L,1,36,14,31,.452,7,16,.438,7,15,.467,5,5,1.000,1,12,13,10,2,0,8,1,40,28.8
17,Giannis Antetokounmpo\antetgi01,22-115,F-G,2017-03-31,MIL,,DET,W,1,45,7,16,.438,7,15,.467,0,1,.000,14,21,.667,2,12,14,9,1,2,4,3,28,25.3
18,Russell Westbrook\westbru01,28-139,G,2017-03-31,OKC,,SAS,L,1,37,8,22,.364,6,15,.400,2,7,.286,14,15,.933,2,13,15,12,0,0,8,1,32,24.7
19,John Wall\walljo01,26-204,G,2017-03-29,WAS,@,LAC,L,1,39,16,23,.696,15,20,.750,1,3,.333,8,11,.727,2,5,7,8,3,0,6,5,41,33.6
20,Russell Westbrook\westbru01,28-137,G,2017-03-29,OKC,@,ORL,W,1,42,21,40,.525,15,25,.600,6,15,.400,9,11,.818,3,10,13,11,3,0,7,3,57,44.2
21,Stephen Curry\curryst01,29-014,G,2017-03-28,GSW,@,HOU,W,1,33,11,22,.500,8,11,.727,3,11,.273,7,10,.700,2,8,10,7,2,0,6,5,32,22.5
22,Russell Westbrook\westbru01,28-135,G,2017-03-27,OKC,@,DAL,W,1,36,15,30,.500,13,21,.619,2,9,.222,5,5,1.000,0,13,13,10,2,0,6,0,37,28.9
